checkIn,checkOut,nights,price,pricePerNight,roomType,status,scrapedAt
2026-12-01,2026-12-08,7,,,"","error: check-in 2026-12-01 is unavailable",2026-07-26T08:36:56.327Z
2026-12-02,2026-12-09,7,,,"","error: check-in 2026-12-02 is unavailable",2026-07-26T08:37:05.607Z
2026-12-03,2026-12-10,7,,,"","error: check-in 2026-12-03 is unavailable",2026-07-26T08:37:02.677Z
2026-12-04,2026-12-11,7,,,"","error: check-in 2026-12-04 is unavailable",2026-07-26T08:36:55.526Z
2026-12-05,2026-12-12,7,,,"","error: check-in 2026-12-05 is unavailable",2026-07-26T08:36:49.981Z
2026-12-06,2026-12-13,7,12233,1748,"Key West One Bedroom Concierge Suite","ok",2026-07-26T08:36:56.327Z
2026-12-07,2026-12-14,7,12233,1748,"Key West One Bedroom Concierge Suite","ok",2026-07-26T08:37:05.607Z
2026-12-08,2026-12-15,7,11997,1714,"Key West One Bedroom Concierge Villa Suite","ok",2026-07-26T08:37:02.677Z
2026-12-09,2026-12-16,7,11997,1714,"Key West One Bedroom Concierge Villa Suite","ok",2026-07-26T08:36:55.526Z
2026-12-10,2026-12-17,7,11997,1714,"Key West One Bedroom Concierge Villa Suite","ok",2026-07-26T08:36:49.981Z
2026-12-11,2026-12-18,7,10150,1450,"Key West Grande Luxe Concierge Room","ok",2026-07-26T08:36:56.327Z
2026-12-12,2026-12-19,7,10150,1450,"Key West Grande Luxe Concierge Room","ok",2026-07-26T08:37:05.607Z
2026-12-13,2026-12-20,7,10150,1450,"Key West Grande Luxe Concierge Room","ok",2026-07-26T08:37:02.677Z
2026-12-14,2026-12-21,7,12335,1762,"Key West One Bedroom Concierge Suite","ok",2026-07-26T08:36:55.526Z
2026-12-15,2026-12-22,7,14127,2018,"Key West One Bedroom Concierge Suite","ok",2026-07-26T08:36:49.981Z
2026-12-16,2026-12-23,7,15918,2274,"Key West One Bedroom Concierge Suite","ok",2026-07-26T08:36:56.327Z
2026-12-17,2026-12-24,7,17710,2530,"Key West One Bedroom Concierge Suite","ok",2026-07-26T08:37:05.607Z
2026-12-18,2026-12-25,7,19502,2786,"Key West One Bedroom Concierge Suite","ok",2026-07-26T08:37:02.677Z
2026-12-19,2026-12-26,7,21767,3110,"Key West One Bedroom Concierge Suite","ok",2026-07-26T08:36:55.526Z
2026-12-20,2026-12-27,7,23550,3364,"Key West One Bedroom Concierge Villa Suite","ok",2026-07-26T08:36:49.981Z
2026-12-21,2026-12-28,7,26195,3742,"Key West One Bedroom Concierge Suite","ok",2026-07-26T08:36:56.327Z
2026-12-22,2026-12-29,7,34963,4995,"Italian Penthouse Oceanview Concierge Family Suite with Kids Room","ok",2026-07-26T08:37:05.607Z
2026-12-23,2026-12-30,7,40777,5825,"Treasure Beach Concierge Suite","ok",2026-07-26T08:37:02.677Z
2026-12-24,2026-12-31,7,41298,5900,"Treasure Beach Concierge Suite","ok",2026-07-26T08:36:55.526Z
2026-12-25,2027-01-01,7,,,"","error: check-out 2027-01-01 is unavailable",2026-07-26T08:36:49.981Z
2026-12-26,2027-01-02,7,,,"","error: check-out 2027-01-02 is unavailable",2026-07-26T08:36:56.327Z
2026-12-27,2027-01-03,7,41812,5973,"Treasure Beach Concierge Suite","ok",2026-07-26T08:37:05.607Z
2026-12-28,2027-01-04,7,41808,5973,"Treasure Beach Concierge Suite","ok",2026-07-26T08:37:02.677Z
2026-12-29,2027-01-05,7,38992,5570,"Treasure Beach Concierge Suite","ok",2026-07-26T08:36:55.526Z
2026-12-30,2027-01-06,7,34937,4991,"Key West Oceanview One Bedroom Concierge Suite","ok",2026-07-26T08:36:49.981Z
2026-12-31,2027-01-07,7,12303,1758,"French Village Luxury Room Double","ok",2026-07-26T08:36:56.327Z
2027-01-01,2027-01-08,7,,,"","error: check-in 2027-01-01 is unavailable",2026-07-26T08:37:05.607Z
2027-01-02,2027-01-09,7,,,"","error: check-in 2027-01-02 is unavailable",2026-07-26T08:37:02.677Z
2027-01-03,2027-01-10,7,10305,1472,"French Village Luxury Room King","ok",2026-07-26T08:36:55.526Z
2027-01-04,2027-01-11,7,9639,1377,"French Village Luxury Room King","ok",2026-07-26T08:36:49.981Z
2027-01-05,2027-01-12,7,9639,1377,"French Village Luxury Room King","ok",2026-07-26T08:36:56.327Z
2027-01-06,2027-01-13,7,9639,1377,"French Village Luxury Room King","ok",2026-07-26T08:37:05.607Z
2027-01-07,2027-01-14,7,9639,1377,"French Village Luxury Room King","ok",2026-07-26T08:37:02.677Z
2027-01-08,2027-01-15,7,9639,1377,"French Village Luxury Room King","ok",2026-07-26T08:36:55.526Z
2027-01-09,2027-01-16,7,9639,1377,"French Village Luxury Room King","ok",2026-07-26T08:36:49.981Z
2027-01-10,2027-01-17,7,11295,1614,"Caribbean Honeymoon Grande Luxe Double","ok",2026-07-26T08:36:56.327Z
2027-01-11,2027-01-18,7,14736,2105,"Key West One Bedroom Concierge Suite","ok",2026-07-26T08:37:05.607Z
2027-01-12,2027-01-19,7,14736,2105,"Key West One Bedroom Concierge Suite","ok",2026-07-26T08:37:02.677Z
2027-01-13,2027-01-20,7,14736,2105,"Key West One Bedroom Concierge Suite","ok",2026-07-26T08:36:55.526Z
2027-01-14,2027-01-21,7,14736,2105,"Key West One Bedroom Concierge Suite","ok",2026-07-26T08:36:49.981Z
2027-01-15,2027-01-22,7,14736,2105,"Key West One Bedroom Concierge Suite","ok",2026-07-26T08:36:56.327Z
2027-01-16,2027-01-23,7,14736,2105,"Key West One Bedroom Concierge Suite","ok",2026-07-26T08:37:05.607Z
2027-01-17,2027-01-24,7,9639,1377,"French Village Luxury Room Double","ok",2026-07-26T08:37:02.677Z
2027-01-18,2027-01-25,7,9639,1377,"French Village Luxury Room King","ok",2026-07-26T08:36:55.526Z
2027-01-19,2027-01-26,7,9639,1377,"French Village Luxury Room King","ok",2026-07-26T08:36:49.981Z
2027-01-20,2027-01-27,7,9639,1377,"French Village Luxury Room King","ok",2026-07-26T08:36:56.327Z
2027-01-21,2027-01-28,7,9639,1377,"French Village Luxury Room Double","ok",2026-07-26T08:37:05.607Z
2027-01-22,2027-01-29,7,9639,1377,"French Village Luxury Room Double","ok",2026-07-26T08:37:02.677Z
2027-01-23,2027-01-30,7,9639,1377,"French Village Luxury Room Double","ok",2026-07-26T08:36:55.526Z
2027-01-24,2027-01-31,7,9639,1377,"French Village Luxury Room Double","ok",2026-07-26T08:36:49.981Z
2027-01-25,2027-02-01,7,,,"","error: check-out 2027-02-01 is unavailable",2026-07-26T08:36:56.327Z
2027-01-26,2027-02-02,7,,,"","error: check-out 2027-02-02 is unavailable",2026-07-26T08:37:05.607Z
2027-01-27,2027-02-03,7,,,"","error: check-out 2027-02-03 is unavailable",2026-07-26T08:37:02.677Z
2027-01-28,2027-02-04,7,,,"","error: check-out 2027-02-04 is unavailable",2026-07-26T08:36:55.526Z
2027-01-29,2027-02-05,7,,,"","error: check-out 2027-02-05 is unavailable",2026-07-26T08:36:49.981Z
2027-01-30,2027-02-06,7,,,"","error: check-out 2027-02-06 is unavailable",2026-07-26T08:36:56.327Z
2027-01-31,2027-02-07,7,9752,1393,"Caribbean Deluxe King","ok",2026-07-26T08:37:05.607Z
2027-02-01,2027-02-08,7,,,"","error: check-in 2027-02-01 is unavailable",2026-07-26T08:37:02.677Z
2027-02-02,2027-02-09,7,,,"","error: check-in 2027-02-02 is unavailable",2026-07-26T08:36:55.526Z
2027-02-03,2027-02-10,7,,,"","error: check-in 2027-02-03 is unavailable",2026-07-26T08:36:49.981Z
2027-02-04,2027-02-11,7,,,"","error: check-in 2027-02-04 is unavailable",2026-07-26T08:36:56.327Z
2027-02-05,2027-02-12,7,,,"","error: check-in 2027-02-05 is unavailable",2026-07-26T08:37:05.607Z
2027-02-06,2027-02-13,7,,,"","error: check-in 2027-02-06 is unavailable",2026-07-26T08:37:02.677Z
2027-02-07,2027-02-14,7,10462,1495,"French Village Luxury Room King","ok",2026-07-26T08:36:55.526Z
2027-02-08,2027-02-15,7,10976,1568,"French Village Luxury Room King","ok",2026-07-26T08:36:49.981Z
2027-02-09,2027-02-16,7,11829,1690,"French Village Luxury Walkout Room King","ok",2026-07-26T08:36:56.327Z
2027-02-10,2027-02-17,7,12357,1765,"French Village Luxury Walkout Room King","ok",2026-07-26T08:37:05.607Z
2027-02-11,2027-02-18,7,12960,1851,"French Village Luxury Walkout Room King","ok",2026-07-26T08:37:02.677Z
2027-02-12,2027-02-19,7,20326,2904,"Key West Luxury One Bedroom Concierge Suite","ok",2026-07-26T08:36:55.526Z
2027-02-13,2027-02-20,7,21038,3005,"Key West Luxury One Bedroom Concierge Suite","ok",2026-07-26T08:36:49.981Z
2027-02-14,2027-02-21,7,20361,2909,"Key West Luxury One Bedroom Concierge Suite","ok",2026-07-26T08:36:56.327Z
2027-02-15,2027-02-22,7,18304,2615,"Key West One Bedroom Concierge Villa Suite","ok",2026-07-26T08:37:05.607Z
2027-02-16,2027-02-23,7,14092,2013,"Caribbean Honeymoon Grande Luxe King","ok",2026-07-26T08:37:02.677Z
2027-02-17,2027-02-24,7,13558,1937,"Caribbean Honeymoon Grande Luxe King","ok",2026-07-26T08:36:55.526Z
2027-02-18,2027-02-25,7,11232,1605,"French Village Luxury Room Double","ok",2026-07-26T08:36:49.981Z
2027-02-19,2027-02-26,7,10645,1521,"French Village Luxury Room Double","ok",2026-07-26T08:36:56.327Z
2027-02-20,2027-02-27,7,10058,1437,"French Village Luxury Room Double","ok",2026-07-26T08:37:05.607Z
2027-02-21,2027-02-28,7,10003,1429,"French Village Luxury Room Double","ok",2026-07-26T08:37:02.677Z
2027-02-22,2027-03-01,7,,,"","error: check-out 2027-03-01 is unavailable",2026-07-26T08:36:55.526Z
2027-02-23,2027-03-02,7,,,"","error: check-out 2027-03-02 is unavailable",2026-07-26T08:36:49.981Z
2027-02-24,2027-03-03,7,,,"","error: check-out 2027-03-03 is unavailable",2026-07-26T08:36:56.327Z
2027-02-25,2027-03-04,7,,,"","error: check-out 2027-03-04 is unavailable",2026-07-26T08:37:05.607Z
2027-02-26,2027-03-05,7,,,"","error: check-out 2027-03-05 is unavailable",2026-07-26T08:37:02.677Z
2027-02-27,2027-03-06,7,,,"","error: check-out 2027-03-06 is unavailable",2026-07-26T08:36:55.526Z
2027-02-28,2027-03-07,7,10114,1445,"Caribbean Deluxe Double","ok",2026-07-26T08:36:49.981Z
2027-03-01,2027-03-08,7,,,"","error: check-in 2027-03-01 is unavailable",2026-07-26T08:36:56.327Z
2027-03-02,2027-03-09,7,,,"","error: check-in 2027-03-02 is unavailable",2026-07-26T08:37:05.607Z
2027-03-03,2027-03-10,7,,,"","error: check-in 2027-03-03 is unavailable",2026-07-26T08:37:02.677Z
2027-03-04,2027-03-11,7,,,"","error: check-in 2027-03-04 is unavailable",2026-07-26T08:36:55.526Z
2027-03-05,2027-03-12,7,,,"","error: check-in 2027-03-05 is unavailable",2026-07-26T08:36:49.981Z
2027-03-06,2027-03-13,7,,,"","error: check-in 2027-03-06 is unavailable",2026-07-26T08:36:56.327Z
2027-03-07,2027-03-14,7,10865,1552,"French Village Luxury Room Double","ok",2026-07-26T08:37:05.607Z
2027-03-08,2027-03-15,7,11397,1628,"French Village Luxury Room King","ok",2026-07-26T08:37:02.677Z
2027-03-09,2027-03-16,7,11930,1704,"French Village Luxury Room King","ok",2026-07-26T08:36:55.526Z
2027-03-10,2027-03-17,7,12462,1780,"French Village Luxury Room King","ok",2026-07-26T08:36:49.981Z
2027-03-11,2027-03-18,7,12995,1856,"French Village Luxury Room King","ok",2026-07-26T08:36:56.327Z
2027-03-12,2027-03-19,7,13527,1932,"French Village Luxury Room King","ok",2026-07-26T08:37:05.607Z
2027-03-13,2027-03-20,7,14060,2009,"French Village Luxury Room Double","ok",2026-07-26T08:37:02.677Z
2027-03-14,2027-03-21,7,14060,2009,"French Village Luxury Room Double","ok",2026-07-26T08:36:55.526Z
2027-03-15,2027-03-22,7,14060,2009,"French Village Luxury Room Double","ok",2026-07-26T08:36:49.981Z
2027-03-16,2027-03-23,7,14060,2009,"French Village Luxury Room King","ok",2026-07-26T08:36:56.327Z
2027-03-17,2027-03-24,7,14060,2009,"French Village Luxury Room King","ok",2026-07-26T08:37:05.607Z
2027-03-18,2027-03-25,7,14060,2009,"French Village Luxury Room King","ok",2026-07-26T08:37:02.677Z
2027-03-19,2027-03-26,7,14060,2009,"French Village Luxury Room King","ok",2026-07-26T08:36:55.526Z
2027-03-20,2027-03-27,7,14060,2009,"French Village Luxury Room King","ok",2026-07-26T08:36:49.981Z
2027-03-21,2027-03-28,7,14060,2009,"French Village Luxury Room King","ok",2026-07-26T08:36:56.327Z
